Name,Notes
pm,"['indian tuberose', ' floral notes', ' juniper berries', ' cardamom', ' lemon', 'leather', ' cedar', ' orris root', ' indonesian patchouli leaf']"
fleurs-d-ombre-bergamote,"['amalfi lemon', ' bergamot', ' bitter orange', 'rosemary', ' clove', ' jasmine', ' heliotrope']"
english-dahlia-fragrance-mist,"['green notes', ' citruses', ' apple', ' neroli', ' floral notes', 'rose', ' peony', ' dahlia']"
gin-flower,"['juniper berries', ' lime', ' citron', 'black elder', ' osmanthus', ' honey', ' vanilla', ' apricot', ' pear']"
to-be-goodvibes-for-him,"['clary sage', ' bergamot', ' black pepper', 'jasmine', ' juniper', ' magnolia']"
tank-custom-for-him,"['elemi', ' ginger', ' bergamot', ' yuzu', ' cardamom', 'anise', ' plum', ' vetiver', ' lavender', ' patchouli', ' wild jasmine']"
miel-extase,"['honey', ' dried fruits', ' apricot', 'ginger', ' violet', ' rum', ' saffron']"
oud-mafia,"['saffron', ' nutmeg', ' thyme', 'oud', ' incense', ' gurjan balsam', ' cistus incanus']"
santa-casa,"['incense', ' orange', ' bergamot', 'sea notes', ' tobacco', ' french rose']"
absolute-woman,"['litchi', ' pink pepper', ' pink grapefruit', ' blackberry', ' bergamot', 'rose', ' marigold', ' jasmine', ' orange blossom']"
full-speed-power,"['lemon', 'rosemary']"
summer-white-bright,"['lemon', 'lily-of-the-valley']"
outrageous-limited-edition-2017,"['green apple', ' grapefruit', ' lime', ' cinnamon', ' mint', 'neroli', ' orange blossom']"
bleu-abysse,"['elemi', ' bergamot', ' cassis', 'mineral notes', ' rose']"
amo-ferragamo-oriental-wood,"['guatemalan cardamom', ' apple', ' lemon', 'rose', ' saffron', ' jasmine']"
black-opium-storm-illusion,"['pink pepper', ' orange blossom', ' mandarin orange', ' bergamot', ' pear', 'tuberose', ' licorice', ' coffee', ' bitter almond', ' jasmine sambac']"
till-sunrise,"['galbanum', 'cypress']"
life-is-now-for-her,"['pear', ' guava', ' orange', 'iris', ' jasmine', ' white lily']"
sacromonte,"['grass', ' fig', ' basil', 'lily-of-the-valley', ' plum', ' jasmine', ' black amber']"
